epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7694.22,0.40562,0.31747,1.44548,0.9575,0.96292,0.9798,0.90814,0.42367,0.32022,1.49129,0.00152944,0.00152944,0.00152944
43,7871.92,0.3931,0.30409,1.43104,0.9616,0.95457,0.97522,0.90867,0.41387,0.31758,1.4895,0.00150859,0.00150859,0.00150859
44,8048,0.39198,0.3031,1.43179,0.96573,0.96147,0.97846,0.90921,0.40989,0.31755,1.49404,0.00148746,0.00148746,0.00148746
45,8228.77,0.39856,0.30623,1.42464,0.95098,0.94482,0.9704,0.90674,0.40565,0.33318,1.50218,0.00146606,0.00146606,0.00146606
46,8405.6,0.3961,0.31002,1.44042,0.96615,0.96269,0.98237,0.91047,0.41013,0.31818,1.49183,0.00144442,0.00144442,0.00144442
47,8587.07,0.38763,0.29896,1.42192,0.95709,0.96025,0.98129,0.91553,0.40738,0.31636,1.49923,0.00142253,0.00142253,0.00142253
48,8777.8,0.38541,0.30489,1.41129,0.96261,0.9605,0.9787,0.90868,0.40005,0.30765,1.47952,0.00140043,0.00140043,0.00140043
49,8955.85,0.38169,0.30064,1.43813,0.95949,0.95797,0.97522,0.90761,0.4199,0.31822,1.48211,0.00137812,0.00137812,0.00137812
50,9134.15,0.38383,0.30409,1.41975,0.95721,0.95914,0.98049,0.9137,0.40168,0.31379,1.47254,0.00135561,0.00135561,0.00135561
51,9313.11,0.37456,0.29452,1.43652,0.97087,0.96432,0.9718,0.90857,0.39764,0.30984,1.49495,0.00133294,0.00133294,0.00133294
52,9487.29,0.37507,0.29227,1.43977,0.96593,0.96279,0.97575,0.91194,0.40096,0.31028,1.48154,0.0013101,0.0013101,0.0013101
53,9670.85,0.36627,0.28837,1.40528,0.97199,0.95593,0.97469,0.9159,0.39638,0.29855,1.49476,0.00128712,0.00128712,0.00128712
54,9857.34,0.36924,0.28817,1.40865,0.95552,0.96163,0.97487,0.9151,0.39659,0.31431,1.47297,0.00126401,0.00126401,0.00126401
55,10036.9,0.3669,0.28734,1.4281,0.96415,0.95699,0.97946,0.91688,0.39194,0.31623,1.49436,0.00124079,0.00124079,0.00124079
56,10218.5,0.36056,0.28103,1.40074,0.96782,0.95375,0.97753,0.91414,0.39676,0.30267,1.48836,0.00121747,0.00121747,0.00121747
57,10400,0.3569,0.27592,1.39917,0.96573,0.95983,0.97837,0.92114,0.39629,0.30471,1.48042,0.00119408,0.00119408,0.00119408
58,10561.7,0.36264,0.28119,1.39252,0.94089,0.96505,0.97933,0.91463,0.40142,0.31115,1.49359,0.00117061,0.00117061,0.00117061
59,10737.9,0.35205,0.27467,1.38409,0.96365,0.95846,0.98034,0.9132,0.39708,0.30517,1.48108,0.0011471,0.0011471,0.0011471
60,10911.7,0.35501,0.27223,1.42807,0.95943,0.96211,0.98005,0.91555,0.39562,0.30299,1.48106,0.00112356,0.00112356,0.00112356
61,11094.7,0.35388,0.27272,1.42067,0.95489,0.96964,0.97851,0.91681,0.38843,0.29987,1.48872,0.0011,0.0011,0.0011
62,11268.5,0.35419,0.27183,1.42553,0.94718,0.98028,0.98214,0.91573,0.39988,0.29808,1.48252,0.00107644,0.00107644,0.00107644
63,11446.1,0.35414,0.27572,1.39178,0.95236,0.97329,0.98215,0.92129,0.38573,0.30027,1.47982,0.0010529,0.0010529,0.0010529
64,11629.4,0.34521,0.26778,1.40289,0.95587,0.97756,0.98361,0.92286,0.39274,0.29941,1.47982,0.00102939,0.00102939,0.00102939
65,11822.7,0.34967,0.26711,1.39829,0.96152,0.96815,0.98288,0.919,0.39785,0.29444,1.48966,0.00100592,0.00100592,0.00100592
66,11997,0.33802,0.25699,1.38422,0.96119,0.95682,0.97961,0.9161,0.40544,0.29286,1.4938,0.000982526,0.000982526,0.000982526
67,12175.7,0.33792,0.25997,1.38598,0.95541,0.96879,0.9791,0.92437,0.39077,0.29712,1.48432,0.000959209,0.000959209,0.000959209
68,12366.7,0.33975,0.26087,1.39514,0.96619,0.96465,0.98008,0.92112,0.39522,0.29745,1.46422,0.000935988,0.000935988,0.000935988
69,12544.2,0.33584,0.25878,1.38176,0.95065,0.97149,0.98112,0.92028,0.39077,0.30253,1.4742,0.000912879,0.000912879,0.000912879
70,12729,0.3342,0.25911,1.40438,0.9647,0.9669,0.98027,0.91653,0.39244,0.30111,1.48619,0.000889899,0.000889899,0.000889899
71,12900.9,0.32441,0.25288,1.38989,0.95891,0.97469,0.98141,0.91813,0.38787,0.29311,1.48561,0.000867063,0.000867063,0.000867063
72,13084.1,0.32678,0.25387,1.4033,0.96358,0.95799,0.98157,0.91949,0.38531,0.2937,1.49134,0.000844386,0.000844386,0.000844386
73,13263.5,0.33476,0.26205,1.38896,0.9646,0.95892,0.98106,0.91975,0.38784,0.29135,1.49742,0.000821885,0.000821885,0.000821885
74,13439.9,0.33238,0.25266,1.39766,0.96199,0.9611,0.98007,0.91957,0.38501,0.28834,1.4857,0.000799574,0.000799574,0.000799574
75,13617.2,0.31666,0.25076,1.37136,0.96489,0.96399,0.98258,0.92424,0.38381,0.29785,1.48189,0.000777469,0.000777469,0.000777469
76,13799.9,0.31842,0.24791,1.37849,0.97465,0.9753,0.98245,0.92274,0.39141,0.28732,1.49762,0.000755585,0.000755585,0.000755585
77,13974.1,0.31494,0.24677,1.38641,0.9722,0.9696,0.98139,0.92402,0.38538,0.28617,1.4846,0.000733937,0.000733937,0.000733937
78,14121.6,0.3125,0.24505,1.36429,0.97111,0.96406,0.98114,0.9232,0.39176,0.29286,1.48236,0.00071254,0.00071254,0.00071254
79,14299.4,0.32093,0.25287,1.37464,0.95839,0.96295,0.9792,0.92235,0.38467,0.2968,1.47794,0.000691409,0.000691409,0.000691409
80,14483.3,0.32409,0.25699,1.3911,0.96368,0.95873,0.98153,0.92532,0.37674,0.29532,1.45891,0.000670557,0.000670557,0.000670557
81,14671.4,0.31888,0.24762,1.38771,0.96666,0.96091,0.97921,0.92349,0.37528,0.30083,1.46784,0.00065,0.00065,0.00065
82,14853.8,0.3077,0.24384,1.3733,0.95574,0.96208,0.98029,0.92329,0.38417,0.29475,1.4871,0.000629751,0.000629751,0.000629751
83,15037.3,0.31142,0.24683,1.37183,0.96428,0.96207,0.97979,0.92109,0.38519,0.29868,1.49699,0.000609825,0.000609825,0.000609825
84,15211.1,0.30166,0.23435,1.3596,0.96444,0.96064,0.98142,0.92381,0.38133,0.28939,1.48781,0.000590234,0.000590234,0.000590234
85,15387,0.30092,0.23385,1.36277,0.95687,0.96538,0.97853,0.92035,0.38659,0.2888,1.49066,0.000570993,0.000570993,0.000570993
86,15569.7,0.30569,0.24,1.3644,0.95161,0.96463,0.98012,0.92182,0.38103,0.29182,1.48814,0.000552115,0.000552115,0.000552115
87,15746.2,0.30542,0.23831,1.37616,0.96596,0.9618,0.97685,0.91859,0.38015,0.28791,1.48567,0.000533612,0.000533612,0.000533612
88,15926.5,0.30116,0.23189,1.37549,0.95389,0.96838,0.97813,0.91939,0.37906,0.29824,1.47603,0.000515497,0.000515497,0.000515497
89,16103.8,0.29915,0.23358,1.36496,0.97608,0.96089,0.98217,0.9217,0.38343,0.28312,1.49383,0.000497782,0.000497782,0.000497782
90,16282.8,0.29761,0.23372,1.37986,0.95959,0.96381,0.98324,0.92345,0.38386,0.28197,1.48797,0.000480481,0.000480481,0.000480481
91,16453.8,0.29076,0.23046,1.37128,0.97156,0.95994,0.982,0.92391,0.381,0.27981,1.49256,0.000463604,0.000463604,0.000463604
92,16634.3,0.28507,0.22064,1.35836,0.95957,0.9674,0.98146,0.92471,0.38856,0.28339,1.49387,0.000447163,0.000447163,0.000447163
93,16804.5,0.29102,0.22833,1.36866,0.96699,0.96033,0.97987,0.91916,0.38243,0.28348,1.48855,0.00043117,0.00043117,0.00043117
94,16980.4,0.28837,0.22658,1.37333,0.96453,0.96079,0.98019,0.92164,0.38362,0.28592,1.48993,0.000415635,0.000415635,0.000415635
95,17169.1,0.28333,0.22481,1.35706,0.94473,0.97823,0.98084,0.92416,0.38568,0.28799,1.49737,0.000400569,0.000400569,0.000400569
96,17345.7,0.28369,0.2207,1.35334,0.96057,0.96671,0.98259,0.92455,0.38447,0.28422,1.49729,0.000385982,0.000385982,0.000385982
97,17526.5,0.28994,0.22656,1.36738,0.94661,0.98379,0.98273,0.92341,0.39424,0.28073,1.49783,0.000371885,0.000371885,0.000371885
98,17702,0.28269,0.22145,1.35093,0.96412,0.95368,0.98232,0.92597,0.38419,0.28598,1.50379,0.000358286,0.000358286,0.000358286
99,17886.5,0.27619,0.21982,1.32984,0.96479,0.95752,0.98227,0.92623,0.38393,0.28063,1.50115,0.000345196,0.000345196,0.000345196
100,18080.5,0.28531,0.22349,1.37236,0.97642,0.95421,0.98121,0.92466,0.38703,0.2784,1.49981,0.000332624,0.000332624,0.000332624
101,18256.5,0.27596,0.21612,1.375,0.97008,0.95664,0.98162,0.92378,0.38101,0.27528,1.49721,0.000320577,0.000320577,0.000320577
102,18447.3,0.27663,0.21843,1.37101,0.957,0.97316,0.98182,0.92357,0.38021,0.28018,1.49063,0.000309065,0.000309065,0.000309065
103,18626.2,0.27328,0.21385,1.36273,0.9605,0.97189,0.98378,0.92686,0.37798,0.2768,1.48891,0.000298094,0.000298094,0.000298094
104,18809.8,0.27486,0.21661,1.35366,0.96059,0.97065,0.98179,0.9235,0.37462,0.27555,1.49167,0.000287673,0.000287673,0.000287673
105,18988.2,0.27321,0.21549,1.35622,0.94369,0.98231,0.98266,0.92434,0.38098,0.2754,1.49827,0.000277809,0.000277809,0.000277809
106,19162.4,0.26948,0.21441,1.35167,0.94581,0.98115,0.98219,0.92628,0.37995,0.27866,1.49514,0.000268508,0.000268508,0.000268508
107,19339.7,0.26875,0.21532,1.35299,0.95248,0.97623,0.98196,0.92558,0.37628,0.27749,1.49179,0.000259778,0.000259778,0.000259778
